AnimalID	BW	BG	Date	State
CRISPR01M.05	31.4	8.3	2019/03/01	Fasted
CRISPR01M.06	26.7	7.8	2019/03/01	Fasted
CRISPR01M.07	29.6	7.3	2019/03/01	Fasted
CRISPR01M.08	29.6	7.6	2019/03/01	Fasted
CRISPR01M.09	29.5	8.4	2019/03/01	Fasted
CRISPR01M.10	28.9	8.7	2019/03/01	Fasted
CRISPR01M.11	24.7	8.2	2019/03/01	Fasted
CRISPR01M.12	28.5	8.4	2019/03/01	Fasted
CRISPR01M.13	29.4	8.8	2019/03/01	Fasted
CRISPR01M.14	26.7	7.5	2019/03/01	Fasted
CRISPR01M.15	31.5	7	2019/03/01	Fasted
CRISPR01M.16	28.2	7.8	2019/03/01	Fasted
CRISPR01M.17	29.5	7.8	2019/03/01	Fasted
CRISPR01M.18	30.3	8.4	2019/03/01	Fasted
CRISPR01M.19	28	7.8	2019/03/01	Fasted
CRISPR01M.20	30.1	9.4	2019/03/01	Fasted
CRISPR01M.21	30.3	8.1	2019/03/01	Fasted
CRISPR01M.22	30.5	8.3	2019/03/01	Fasted
CRISPR01M.23	27.7	8.5	2019/03/01	Fasted
CRISPR01M.24	29.4	6.8	2019/03/01	Fasted
CRISPR01M.25	30.5	8	2019/03/01	Fasted
CRISPR01M.26	30.4	7.2	2019/03/01	Fasted
CRISPR01M.27	30	7.4	2019/03/01	Fasted
CRISPR01M.28	28	7.5	2019/03/01	Fasted
CRISPR01M.29	29.1	7.9	2019/03/01	Fasted
CRISPR01M.30	29.5	7.9	2019/03/01	Fasted
CRISPR01M.01	33.9	8.5	2019/03/13	Fasted
CRISPR01M.02	29.9	6.5	2019/03/13	Fasted
CRISPR01M.03	29.1	7.6	2019/03/13	Fasted
CRISPR01M.04	32.3	9	2019/03/13	Fasted
CRISPR01M.05	32.8	7.5	2019/03/13	Fasted
CRISPR01M.06	27.8	7.4	2019/03/13	Fasted
CRISPR01M.07	30.9	8.9	2019/03/13	Fasted
CRISPR01M.08	31.2	7.7	2019/03/13	Fasted
CRISPR01M.09	31.1	10.7	2019/03/13	Fasted
CRISPR01M.10	30.4	9	2019/03/13	Fasted
CRISPR01M.11	25.6	9	2019/03/13	Fasted
CRISPR01M.12	29.8	7.3	2019/03/13	Fasted
CRISPR01M.13	30.6	8.1	2019/03/13	Fasted
CRISPR01M.14	28.1	7.7	2019/03/13	Fasted
CRISPR01M.15	32.2	7.4	2019/03/13	Fasted
CRISPR01M.16	29.3	7.9	2019/03/13	Fasted
CRISPR01M.17	30.6	9.3	2019/03/13	Fasted
CRISPR01M.18	31.4	8.3	2019/03/13	Fasted
CRISPR01M.19	29.1	8.4	2019/03/13	Fasted
CRISPR01M.20	31.4	6.1	2019/03/13	Fasted
CRISPR01M.21	31.9	7.7	2019/03/13	Fasted
CRISPR01M.22	32.2	8.1	2019/03/13	Fasted
CRISPR01M.23	28.2	7.4	2019/03/13	Fasted
CRISPR01M.24	30.8	8.8	2019/03/13	Fasted
CRISPR01M.25	32	7.2	2019/03/13	Fasted
CRISPR01M.26	31.2	9	2019/03/13	Fasted
CRISPR01M.27	31.1	7.7	2019/03/13	Fasted
CRISPR01M.28	29	7.5	2019/03/13	Fasted
CRISPR01M.29	29.8	6.6	2019/03/13	Fasted
CRISPR01M.30	30.4	6.5	2019/03/13	Fasted
CRISPR01M.01	34.8	8.6	2019/03/22	Fasted
CRISPR01M.02	30.2	8.1	2019/03/22	Fasted
CRISPR01M.03	29.8	5.9	2019/03/22	Fasted
CRISPR01M.04	33	8.1	2019/03/22	Fasted
CRISPR01M.05	33.7	8.5	2019/03/22	Fasted
CRISPR01M.06	29.1	8.4	2019/03/22	Fasted
CRISPR01M.07	32.1	8.7	2019/03/22	Fasted
CRISPR01M.08	32	7.4	2019/03/22	Fasted
CRISPR01M.09	31.9	8.2	2019/03/22	Fasted
CRISPR01M.10	31.1	7.7	2019/03/22	Fasted
CRISPR01M.11	27	8.8	2019/03/22	Fasted
CRISPR01M.12	30.5	8.4	2019/03/22	Fasted
CRISPR01M.13	31.6	9.2	2019/03/22	Fasted
CRISPR01M.14	25.8	5.7	2019/03/22	Fasted
CRISPR01M.15	33.6	8.5	2019/03/22	Fasted
CRISPR01M.16	30.8	8.1	2019/03/22	Fasted
CRISPR01M.17	32.3	9.9	2019/03/22	Fasted
CRISPR01M.18	32.3	9.8	2019/03/22	Fasted
CRISPR01M.19	29.4	9.8	2019/03/22	Fasted
CRISPR01M.20	32.3	8.4	2019/03/22	Fasted
CRISPR01M.21	32.8	8.1	2019/03/22	Fasted
CRISPR01M.22	32.5	9.7	2019/03/22	Fasted
CRISPR01M.23	29.6	9	2019/03/22	Fasted
CRISPR01M.24	31.8	9.9	2019/03/22	Fasted
CRISPR01M.25	33.4	10.9	2019/03/22	Fasted
CRISPR01M.26	32.1	8.8	2019/03/22	Fasted
CRISPR01M.27	32.4	8.4	2019/03/22	Fasted
CRISPR01M.28	29.8	8.2	2019/03/22	Fasted
CRISPR01M.29	30.1	7.9	2019/03/22	Fasted
CRISPR01M.30	31.4	9.2	2019/03/22	Fasted
CRISPR01M.01	34.9	7.9	2019/03/26	Fasted
CRISPR01M.02	29.9	8.4	2019/03/26	Fasted
CRISPR01M.03	29.6	6.9	2019/03/26	Fasted
CRISPR01M.04	32.6	7.8	2019/03/26	Fasted
CRISPR01M.05	33.3	7.9	2019/03/26	Fasted
CRISPR01M.06	28.8	9	2019/03/26	Fasted
CRISPR01M.07	32.6	7.5	2019/03/26	Fasted
CRISPR01M.08	31.7	10.4	2019/03/26	Fasted
CRISPR01M.09	31.5	8.2	2019/03/26	Fasted
CRISPR01M.10	31	10	2019/03/26	Fasted
CRISPR01M.11	26.9	7.7	2019/03/26	Fasted
CRISPR01M.12	30.4	8.4	2019/03/26	Fasted
CRISPR01M.13	31.4	8.9	2019/03/26	Fasted
CRISPR01M.14	28.3	7.8	2019/03/26	Fasted
CRISPR01M.15	33.3	9.4	2019/03/26	Fasted
CRISPR01M.16	30.7	8.5	2019/03/26	Fasted
CRISPR01M.17	31.9	9	2019/03/26	Fasted
CRISPR01M.18	32.1	7	2019/03/26	Fasted
CRISPR01M.19	30.5	7.9	2019/03/26	Fasted
CRISPR01M.20	32.3	8.3	2019/03/26	Fasted
CRISPR01M.21	31.9	7.4	2019/03/26	Fasted
CRISPR01M.22	32.3	6.8	2019/03/26	Fasted
CRISPR01M.23	29.7	7.9	2019/03/26	Fasted
CRISPR01M.24	31.8	8.6	2019/03/26	Fasted
CRISPR01M.25	33.1	8	2019/03/26	Fasted
CRISPR01M.26	31.5	8.4	2019/03/26	Fasted
CRISPR01M.27	32.4	7.9	2019/03/26	Fasted
CRISPR01M.28	30	8.9	2019/03/26	Fasted
CRISPR01M.29	29.9	8.6	2019/03/26	Fasted
CRISPR01M.30	31.3	7.6	2019/03/26	Fasted
CRISPR01M.01	34.5	9.2	2019/04/11	Random
CRISPR01M.02	31.4	7.5	2019/04/11	Random
CRISPR01M.03	30.4	7.8	2019/04/11	Random
CRISPR01M.04	33.2	8.7	2019/04/11	Random
CRISPR01M.05	34.5	8	2019/04/11	Random
CRISPR01M.06	29	8.8	2019/04/11	Random
CRISPR01M.07	32.3	8.2	2019/04/11	Random
CRISPR01M.08	32.3	8.7	2019/04/11	Random
CRISPR01M.09	32.2	7.6	2019/04/11	Random
CRISPR01M.10	31.5	8.1	2019/04/11	Random
CRISPR01M.11	26.7	7.5	2019/04/11	Random
