AnimalID	Date	count_beads	"normal count_CD45pos"	"normal count_CD4posCD45pos"	"normal count_CD8posCD45pos"	"normal count_Mycpos_hCD45pos"	"normal count_CD4posMycposCD45pos"	"normal count_CD8posMycposCD45pos"	"normal count_CD4pos of CD45posMycpos"	"normal count_CD8pos of CD45posMycpos"
CRISPR02M.01	2019/09/13	5248	1.90548780487805	0	1.90548780487805	1.90548780487805	0	1.90548780487805	0	1.90548780487805
CRISPR02M.02	2019/09/13	1935	439.276485788114	320.413436692506	103.359173126615	62.015503875969	20.671834625323	36.1757105943152	20.671834625323	41.343669250646
CRISPR02M.03	2019/09/13	4115	7.29040097205346	0	7.29040097205346	2.43013365735115	0	2.43013365735115	0	2.43013365735115
CRISPR02M.04	2019/09/13	3543	84.6740050804403	53.6268698842789	25.4022015241321	31.0471351961614	2.82246683601468	22.5797346881174	2.82246683601468	28.2246683601468
CRISPR02M.05	2019/09/13	1694	3234.94687131051	1097.99291617473	1930.34238488784	112.160566706021	47.2255017709563	53.1286894923259	47.2255017709563	53.1286894923259
CRISPR02M.06	2019/09/13	746	9101.87667560322	1474.5308310992	7131.3672922252	120.643431635389	93.8337801608579	13.4048257372654	93.8337801608579	26.8096514745308
CRISPR02M.07	2019/09/13	1625	0	0	0	0	0	0	0	0
CRISPR02M.08	2019/09/13	777	0	0	0	0	0	0	0	0
CRISPR02M.09	2019/09/13	2052	29.2397660818713	4.87329434697856	14.6198830409357	14.6198830409357	4.87329434697856	9.74658869395712	4.87329434697856	9.74658869395712
CRISPR02M.10	2019/09/13	1084	1291.51291512915	313.653136531365	913.284132841329	9.22509225092251	0	9.22509225092251	0	9.22509225092251
CRISPR02M.11	2019/09/13	2361	16806.4379500212	4836.93350275307	10720.0338839475	474.37526471834	258.365099534096	152.477763659466	283.778060144007	190.597204574333
CRISPR02M.12	2019/09/13	3949	2864.01620663459	635.603950367182	1529.50113952899	55.7103064066852	12.6614332742466	35.4520131678906	12.6614332742466	40.5165864775893
CRISPR02M.13	2019/09/13	4843	14.453850918852	2.06483584555028	2.06483584555028	4.12967169110056	0	2.06483584555028	0	4.12967169110056
CRISPR02M.14	2019/09/13	4138	7.24987916868052	2.41662638956017	2.41662638956017	2.41662638956017	2.41662638956017	0	2.41662638956017	0
CRISPR02M.15	2019/09/13	5062	11.8530225207428	1.97550375345713	1.97550375345713	1.97550375345713	0	0	0	1.97550375345713
CRISPR02M.21	2019/09/13	829	0	0	0	0	0	0	0	0
CRISPR02M.22	2019/09/13	3266	3.06184935701163	3.06184935701163	0	0	0	0	0	0
CRISPR02M.23	2019/09/13	5644	14.1743444365698	0	3.54358610914245	1.77179305457123	0	0	0	1.77179305457123
CRISPR02M.24	2019/09/13	1980	5.05050505050505	0	5.05050505050505	0	0	0	0	0
CRISPR02M.25	2019/09/13	3368	14.8456057007126	0	2.96912114014252	2.96912114014252	0	0	0	2.96912114014252
CRISPR02M.26	2019/09/13	2559	3.90777647518562	0	3.90777647518562	3.90777647518562	0	3.90777647518562	0	3.90777647518562
CRISPR02M.27	2019/09/13	2627	0	0	0	0	0	0	0	0
CRISPR02M.28	2019/09/13	2670	3.74531835205992	0	0	0	0	0	0	0
CRISPR02M.29	2019/09/13	5242	0	0	0	0	0	0	0	0
CRISPR02M.30	2019/09/13	2534	36945.5406471981	12750.591949487	21858.7213891081	244.672454617206	118.389897395422	106.55090765588	122.336227308603	122.336227308603
CRISPR02M.31	2019/09/13	3518	5.68504832291074	0	2.84252416145537	2.84252416145537	0	0	0	2.84252416145537
CRISPR02M.32	2019/09/13	4623	10.8154877784988	2.16309755569976	6.48929266709929	2.16309755569976	0	2.16309755569976	0	2.16309755569976
CRISPR02M.33	2019/09/13	2361	0	0	0	0	0	0	0	0
CRISPR02M.34	2019/09/13	3714	0	0	0	0	0	0	0	0
CRISPR02M.35	2019/09/13	3553	2.81452293836195	0	2.81452293836195	0	0	0	0	0
CRISPR02M.01	2019/09/20	1591	50.2828409805154	0	43.997485857951	6.28535512256443	0	6.28535512256443	0	6.28535512256443
CRISPR02M.02	2019/09/20	933	2593.78349410504	1264.73740621651	1114.68381564845	450.16077170418	214.362272240086	203.644158628081	214.362272240086	214.362272240086
CRISPR02M.03	2019/09/20	2514	32955.4494828958	3981.70246618934	27601.4319809069	568.814638027049	206.84168655529	298.329355608592	222.752585521082	330.151153540175
CRISPR02M.04	2019/09/20	545	440.366972477064	183.48623853211	256.880733944954	293.577981651376	91.743119266055	201.834862385321	91.743119266055	201.834862385321
CRISPR02M.05	2019/09/20	90	124555.555555556	30111.1111111111	88666.6666666667	2444.44444444444	1333.33333333333	888.888888888889	1444.44444444444	888.888888888889
CRISPR02M.06	2019/09/20	2072	11500.9652509653	1607.14285714286	9324.32432432432	395.752895752896	86.8725868725869	284.749034749035	91.6988416988417	304.054054054054
CRISPR02M.07	2019/09/20	1948	5.13347022587269	0	5.13347022587269	5.13347022587269	0	5.13347022587269	0	5.13347022587269
CRISPR02M.08	2019/09/20	1513	19.8281559814937	6.60938532716457	6.60938532716457	13.2187706543291	0	6.60938532716457	0	13.2187706543291
CRISPR02M.09	2019/09/20	1984	0	0	0	0	0	0	0	0
CRISPR02M.10	2019/09/20	2248	44.4839857651246	40.0355871886121	4.44839857651246	31.1387900355872	26.6903914590747	4.44839857651246	26.6903914590747	4.44839857651246
CRISPR02M.12	2019/09/20	2228	13325.8527827648	1790.84380610413	10888.6894075404	1122.08258527828	242.369838420108	825.852782764812	255.834829443447	857.271095152603
