AnimalID	BW	BG	GvHD	Date	State
CRISPR02M.25	28.7	8.9	0	2019/08/14	Random
CRISPR02M.26	27.8	9.4	0	2019/08/14	Random
CRISPR02M.27	30.2	9.3	0	2019/08/14	Random
CRISPR02M.28	23.1	9.7	0	2019/08/14	Random
CRISPR02M.29	29.1	6.7	0	2019/08/14	Random
CRISPR02M.30	29.4	9.2	0	2019/08/14	Random
CRISPR02M.31	29.3	8.7	0	2019/08/14	Random
CRISPR02M.32	31.4	8.2	0	2019/08/14	Random
CRISPR02M.33	30.7	8.8	0	2019/08/14	Random
CRISPR02M.34	31.4	7.7	0	2019/08/14	Random
CRISPR02M.35	28.9	8.1	0	2019/08/14	Random
CRISPR02M.01	29.3	7.5	0	2019/08/29	Random
CRISPR02M.02	28.1	7.9	0	2019/08/29	Random
CRISPR02M.03	27.7	7.9	0	2019/08/29	Random
CRISPR02M.04	28.4	9	0	2019/08/29	Random
CRISPR02M.05	30.2	7.2	0	2019/08/29	Random
CRISPR02M.06	29.9	7.4	0	2019/08/29	Random
CRISPR02M.07	28.3	7.7	0	2019/08/29	Random
CRISPR02M.08	29.8	9	0	2019/08/29	Random
CRISPR02M.09	32	8.3	0	2019/08/29	Random
CRISPR02M.10	30.2	8.5	0	2019/08/29	Random
CRISPR02M.11	28.1	7.6	0	2019/08/29	Random
CRISPR02M.12	32.6	8.7	0	2019/08/29	Random
CRISPR02M.13	27.5	7.9	0	2019/08/29	Random
CRISPR02M.14	29.9	9.9	0	2019/08/29	Random
CRISPR02M.15	29.3	6.9	0	2019/08/29	Random
CRISPR02M.16	31.1	7.8	0	2019/08/29	Random
CRISPR02M.17	32.5	7.4	0	2019/08/29	Random
CRISPR02M.18	28	7.7	0	2019/08/29	Random
CRISPR02M.19	30.4	9	0	2019/08/29	Random
CRISPR02M.20	32.2	9.1	0	2019/08/29	Random
CRISPR02M.21	32.6	9.4	0	2019/08/29	Random
CRISPR02M.22	30.2	6.9	0	2019/08/29	Random
CRISPR02M.23	27.2	8	0	2019/08/29	Random
CRISPR02M.24	29.5	6.5	0	2019/08/29	Random
CRISPR02M.25	30.4	8.4	0	2019/08/29	Random
CRISPR02M.26	29.1	8.8	0	2019/08/29	Random
CRISPR02M.27	31.3	9.2	0	2019/08/29	Random
CRISPR02M.28	24.2	7.7	0	2019/08/29	Random
CRISPR02M.29	30.2	7.4	0	2019/08/29	Random
CRISPR02M.30	30.1	8.1	0	2019/08/29	Random
CRISPR02M.31	30.8	9.2	0	2019/08/29	Random
CRISPR02M.32	31.7	10.4	0	2019/08/29	Random
CRISPR02M.33	31.3	8.2	0	2019/08/29	Random
CRISPR02M.34	32.7	6.8	0	2019/08/29	Random
CRISPR02M.35	30.4	8.5	0	2019/08/29	Random
CRISPR02M.01	30	7.9	0	2019/09/13	Random
CRISPR02M.02	28.2	7.5	0	2019/09/13	Random
CRISPR02M.03	28.9	8.3	0	2019/09/13	Random
CRISPR02M.04	29.1	8.5	0	2019/09/13	Random
CRISPR02M.05	30.7	7.8	0	2019/09/13	Random
CRISPR02M.06	30.2	7.7	0	2019/09/13	Random
CRISPR02M.07	28.7	7.8	0	2019/09/13	Random
CRISPR02M.08	30	9.3	0	2019/09/13	Random
CRISPR02M.09	31.5	8.2	0	2019/09/13	Random
CRISPR02M.10	30.8	8	0	2019/09/13	Random
CRISPR02M.11	29.2	8.1	0	2019/09/13	Random
CRISPR02M.12	33	8	0	2019/09/13	Random
CRISPR02M.13	27.9	6.9	0	2019/09/13	Random
CRISPR02M.14	29.7	8	0	2019/09/13	Random
CRISPR02M.15	28.7	8.9	0	2019/09/13	Random
CRISPR02M.16	31.3	7.7	0	2019/09/13	Random
CRISPR02M.17	33.1	7.8	0	2019/09/13	Random
CRISPR02M.18	28.6	7.3	0	2019/09/13	Random
CRISPR02M.19	32.2	7.3	0	2019/09/13	Random
CRISPR02M.20	32.3	7	0	2019/09/13	Random
CRISPR02M.21	33.3	8.9	0	2019/09/13	Random
CRISPR02M.22	30.5	6.3	0	2019/09/13	Random
CRISPR02M.23	27.5	7.2	0	2019/09/13	Random
CRISPR02M.24	29.7	5.7	0	2019/09/13	Random
CRISPR02M.25	30.1	7.5	0	2019/09/13	Random
CRISPR02M.26	30	8	0	2019/09/13	Random
CRISPR02M.27	31.8	9.4	0	2019/09/13	Random
CRISPR02M.28	24.6	7.8	0	2019/09/13	Random
CRISPR02M.29	30.7	7	0	2019/09/13	Random
CRISPR02M.30	31.9	6.5	0	2019/09/13	Random
CRISPR02M.31	30.1	8.9	0	2019/09/13	Random
CRISPR02M.32	33.2	8	0	2019/09/13	Random
CRISPR02M.33	31.2	8.3	0	2019/09/13	Random
CRISPR02M.34	33.2	8	0	2019/09/13	Random
CRISPR02M.35	30.8	9.2	0	2019/09/13	Random
CRISPR02M.01	29.8	7.4	0	2019/09/18	Fasted
CRISPR02M.02	28.3	6.8	0	2019/09/18	Fasted
CRISPR02M.03	29.4	8.2	0	2019/09/18	Fasted
CRISPR02M.04	29.3	7.9	0	2019/09/18	Fasted
CRISPR02M.05	30.6	6.5	0	2019/09/18	Fasted
CRISPR02M.06	30.1	6.8	0	2019/09/18	Fasted
CRISPR02M.07	28.1	7.5	0	2019/09/18	Fasted
CRISPR02M.08	30.1	8.4	0	2019/09/18	Fasted
CRISPR02M.09	31.6	7.8	0	2019/09/18	Fasted
CRISPR02M.10	30.1	7.7	0	2019/09/18	Fasted
CRISPR02M.11	25.8	4.2	6	2019/09/18	Fasted
CRISPR02M.12	32.5	8.5	0	2019/09/18	Fasted
CRISPR02M.13	28.1	7.8	0	2019/09/18	Fasted
CRISPR02M.14	30	8.4	0	2019/09/18	Fasted
CRISPR02M.15	28.7	8.3	0	2019/09/18	Fasted
CRISPR02M.21	33.3	8.6	0	2019/09/19	Fasted
CRISPR02M.22	30.8	6.3	0	2019/09/19	Fasted
CRISPR02M.23	27.6	8.3	0	2019/09/19	Fasted
CRISPR02M.24	29.7	5.2	0	2019/09/19	Fasted
CRISPR02M.25	30.5	8.7	0	2019/09/19	Fasted
CRISPR02M.26	30.2	6.3	0	2019/09/19	Fasted
CRISPR02M.27	32	8.2	0	2019/09/19	Fasted
CRISPR02M.28	25	7.4	0	2019/09/19	Fasted
CRISPR02M.29	31.5	7.5	0	2019/09/19	Fasted
CRISPR02M.30	26.2	2.6	0	2019/09/19	Fasted
CRISPR02M.31	30.5	6	0	2019/09/19	Fasted
