AnimalID	Time	CP.Start	CP.End	BG.Start	BG.End	Date	Delivery	Weight
CRISPR02M.25	15	1868.07	1868.07	29.4	29.4	2019/08/21	IP	29.4
CRISPR02M.26	15	2240.845	2240.845	24.5	24.5	2019/08/21	IP	28.3
CRISPR02M.27	15	1099.74	1099.74	24.5	24.5	2019/08/21	IP	29.8
CRISPR02M.28	15	1346.405	1346.405	22.8	22.8	2019/08/21	IP	23.5
CRISPR02M.29	15	2963.04	2963.04	16.1	16.1	2019/08/21	IP	30
CRISPR02M.30	15	2525.36	2525.36	30.1	30.1	2019/08/21	IP	29.1
CRISPR02M.31	15	1559.41	1559.41	22.2	22.2	2019/08/21	IP	29.7
CRISPR02M.32	15	1730.87	1730.87	33.3	147	2019/08/21	IP	31.6
CRISPR02M.33	15	1718.04	1718.04	33	33	2019/08/21	IP	30.7
CRISPR02M.34	15	2422.165	2422.165	26.9	26.9	2019/08/21	IP	32
CRISPR02M.35	15	1892.615	1892.615	19.6	19.6	2019/08/21	IP	29.1
CRISPR02M.21	60	915.62	915.62	14.3	14.3	2019/08/21	IP	32.2
CRISPR02M.22	60	4881.605	4881.605	7.5	7.5	2019/08/21	IP	29.6
CRISPR02M.23	60	115.865	115.865	14	14	2019/08/21	IP	27.2
CRISPR02M.24	60	4071.38	4071.38	9.6	9.6	2019/08/21	IP	28.6
CRISPR02M.25	60	3614.145	3614.145	10.8	10.8	2019/08/21	IP	29.4
CRISPR02M.26	60	3327.185	3327.185	8.4	8.4	2019/08/21	IP	28.3
CRISPR02M.27	60	1672.6	1672.6	11.2	11.2	2019/08/21	IP	29.8
CRISPR02M.28	60	3067.625	3067.625	9.3	9.3	2019/08/21	IP	23.5
CRISPR02M.29	60	2293.725	2293.725	9.1	9.1	2019/08/21	IP	30
CRISPR02M.30	60	2724.65	2724.65	12	12	2019/08/21	IP	29.1
CRISPR02M.31	60	2581.475	2581.475	11.8	11.8	2019/08/21	IP	29.7
CRISPR02M.32	60	7313.785	7313.785	12.5	12.5	2019/08/21	IP	31.6
CRISPR02M.33	60	2540.72	2540.72	20.4	20.4	2019/08/21	IP	30.7
CRISPR02M.34	60	4747.555	4747.555	9.3	9.3	2019/08/21	IP	32
CRISPR02M.35	60	3779.29	3779.29	10.5	10.5	2019/08/21	IP	29.1
CRISPR02M.01	0	1135.035	1135.035	9.3	9.3	2019/09/04	IP	29.7
CRISPR02M.02	0	262.75	262.75	7.8	7.8	2019/09/04	IP	28.1
CRISPR02M.03	0	244.44	244.44	8.5	8.5	2019/09/04	IP	28.2
CRISPR02M.04	0	359.29	359.29	8.8	8.8	2019/09/04	IP	28.9
CRISPR02M.05	0	1605.6	1605.6	8.4	8.4	2019/09/04	IP	29.7
CRISPR02M.06	0	1919.695	1919.695	7	7	2019/09/04	IP	29.8
CRISPR02M.07	0	2094.845	2094.845	8.9	8.9	2019/09/04	IP	28.4
CRISPR02M.08	0	3792.88	3792.88	7.7	7.7	2019/09/04	IP	29.8
CRISPR02M.09	0	1218.965	1218.965	9.2	9.2	2019/09/04	IP	31
CRISPR02M.10	0	488.515	488.515	8.3	8.3	2019/09/04	IP	30.6
CRISPR02M.11	0	1042.875	1042.875	7.5	7.5	2019/09/04	IP	28.5
CRISPR02M.12	0	460.56	460.56	8.9	8.9	2019/09/04	IP	32.6
CRISPR02M.13	0	905.06	905.06	7.4	7.4	2019/09/04	IP	27.7
CRISPR02M.14	0	891.785	891.785	9.4	9.4	2019/09/04	IP	29.8
CRISPR02M.15	0	1352.585	1352.585	9.9	9.9	2019/09/04	IP	29.4
CRISPR02M.01	15	896.71	896.71	25.4	25.4	2019/09/04	IP	29.7
CRISPR02M.02	15	219.69	219.69	20.3	20.3	2019/09/04	IP	28.1
CRISPR02M.03	15	314.205	314.205	20.4	20.4	2019/09/04	IP	28.2
CRISPR02M.04	15	98.105	98.105	28.7	28.7	2019/09/04	IP	28.9
CRISPR02M.05	15	903.44	903.44	23.6	23.6	2019/09/04	IP	29.7
CRISPR02M.06	15	1024.995	1024.995	26.1	26.1	2019/09/04	IP	29.8
CRISPR02M.07	15	1483.565	1483.565	24.5	24.5	2019/09/04	IP	28.4
CRISPR02M.08	15	2239.92	2239.92	26.5	26.5	2019/09/04	IP	29.8
CRISPR02M.09	15	1231.925	1231.925	30.2	30.2	2019/09/04	IP	31
CRISPR02M.10	15	280.575	280.575	32.6	32.6	2019/09/04	IP	30.6
CRISPR02M.11	15	809.69	809.69	28.8	28.8	2019/09/04	IP	28.5
CRISPR02M.12	15	170.345	170.345	27.9	27.9	2019/09/04	IP	32.6
CRISPR02M.13	15	1858.85	1858.85	23.8	23.8	2019/09/04	IP	27.7
CRISPR02M.14	15	975.945	975.945	19.8	19.8	2019/09/04	IP	29.8
CRISPR02M.15	15	1312.665	1312.665	28.5	28.5	2019/09/04	IP	29.4
CRISPR02M.01	60	1355.12	1355.12	13.8	13.8	2019/09/04	IP	29.7
CRISPR02M.02	60	257.125	257.125	10.8	10.8	2019/09/04	IP	28.1
CRISPR02M.03	60	365.32	365.32	11.7	11.7	2019/09/04	IP	28.2
CRISPR02M.04	60	206.33	206.33	14.3	14.3	2019/09/04	IP	28.9
CRISPR02M.05	60	1291.88	1291.88	11.9	11.9	2019/09/04	IP	29.7
CRISPR02M.06	60	1535.375	1535.375	12.9	12.9	2019/09/04	IP	29.8
CRISPR02M.07	60	394.515	394.515	11.2	11.2	2019/09/04	IP	28.4
CRISPR02M.08	60	2397.985	2397.985	9.2	9.2	2019/09/04	IP	29.8
CRISPR02M.09	60	1286.87	1286.87	11	11	2019/09/04	IP	31
CRISPR02M.10	60	272.68	272.68	12	12	2019/09/04	IP	30.6
CRISPR02M.11	60	1049.74	1049.74	10.8	10.8	2019/09/04	IP	28.5
CRISPR02M.12	60	558.335	558.335	12.3	12.3	2019/09/04	IP	32.6
CRISPR02M.13	60	1582.77	1582.77	8	8	2019/09/04	IP	27.7
CRISPR02M.14	60	1177.825	1177.825	9.5	9.5	2019/09/04	IP	29.8
CRISPR02M.15	60	853.44	853.44	14.5	14.5	2019/09/04	IP	29.4
CRISPR02M.21	0	359.975	359.975	8.5	8.5	2019/09/05	IP	33
CRISPR02M.22	0	843.855	843.855	7.4	7.4	2019/09/05	IP	30.9
CRISPR02M.23	0	68.08	68.08	7	7	2019/09/05	IP	27.3
CRISPR02M.24	0	3710.535	3710.535	5.6	5.6	2019/09/05	IP	29.4
CRISPR02M.25	0	1481.06	1481.06	8.8	8.8	2019/09/05	IP	29.9
CRISPR02M.26	0	1027.34	1027.34	7	7	2019/09/05	IP	30
CRISPR02M.27	0	822.78	822.78	7.8	7.8	2019/09/05	IP	31.5
CRISPR02M.28	0	2443.855	2443.855	6.8	6.8	2019/09/05	IP	24.5
CRISPR02M.29	0	2505.77	2505.77	6.6	6.6	2019/09/05	IP	30.8
CRISPR02M.30	0	893.945	893.945	8.7	8.7	2019/09/05	IP	31.1
CRISPR02M.31	0	1568.71	1568.71	7	7	2019/09/05	IP	30.6
CRISPR02M.32	0	1742.93	1742.93	7	7	2019/09/05	IP	32.5
CRISPR02M.33	0	1222.64	1222.64	9	9	2019/09/05	IP	31.4
CRISPR02M.34	0	2186.355	2186.355	7.8	7.8	2019/09/05	IP	33.4
CRISPR02M.35	0	2481.615	2481.615	8.4	8.4	2019/09/05	IP	29.9
CRISPR02M.21	15	282.315	282.315	21.8	21.8	2019/09/05	IP	33
CRISPR02M.22	15	960.51	960.51	20.6	20.6	2019/09/05	IP	30.9
CRISPR02M.23	15	74.705	74.705	21.4	21.4	2019/09/05	IP	27.3
CRISPR02M.24	15	2456.075	2456.075	27.5	27.5	2019/09/05	IP	29.4
CRISPR02M.25	15	2373.965	2373.965	22.1	22.1	2019/09/05	IP	29.9
CRISPR02M.26	15	886.665	886.665	32.6	32.6	2019/09/05	IP	30
CRISPR02M.27	15	544.04	544.04	22.5	22.5	2019/09/05	IP	31.5
CRISPR02M.28	15	1076.125	1076.125	19	19	2019/09/05	IP	24.5
CRISPR02M.29	15	1808.29	1808.29	22	22	2019/09/05	IP	30.8
CRISPR02M.30	15	558.005	558.005	23.9	23.9	2019/09/05	IP	31.1
CRISPR02M.31	15	1379.88	1379.88	22.4	22.4	2019/09/05	IP	30.6
CRISPR02M.32	15	783.825	783.825	25.5	25.5	2019/09/05	IP	32.5
CRISPR02M.33	15	604.455	604.455	25.3	25.3	2019/09/05	IP	31.4
CRISPR02M.34	15	1054.785	1054.785	27.4	27.4	2019/09/05	IP	33.4
CRISPR02M.35	15	1350.28	1350.28	21.1	21.1	2019/09/05	IP	29.9
CRISPR02M.21	60	249.835	249.835	10.9	10.9	2019/09/05	IP	33
CRISPR02M.22	60	979.255	979.255	9.5	9.5	2019/09/05	IP	30.9
CRISPR02M.23	60	0	22.5	9	9	2019/09/05	IP	27.3
CRISPR02M.24	60	2180.665	2180.665	6.2	6.2	2019/09/05	IP	29.4
CRISPR02M.25	60	2371.225	2371.225	8.9	8.9	2019/09/05	IP	29.9
CRISPR02M.26	60	687.945	687.945	14	14	2019/09/05	IP	30
CRISPR02M.27	60	790.455	790.455	9.7	9.7	2019/09/05	IP	31.5
CRISPR02M.28	60	994.14	994.14	8.1	8.1	2019/09/05	IP	24.5
CRISPR02M.29	60	2061.4	2061.4	8.3	8.3	2019/09/05	IP	30.8
CRISPR02M.30	60	364.35	364.35	10.2	10.2	2019/09/05	IP	31.1
CRISPR02M.31	60	715.805	715.805	8.7	8.7	2019/09/05	IP	30.6
CRISPR02M.32	60	1068.32	1068.32	14.3	14.3	2019/09/05	IP	32.5
CRISPR02M.33	60	507.875	507.875	12.3	12.3	2019/09/05	IP	31.4
CRISPR02M.34	60	1578.41	1578.41	8.4	8.4	2019/09/05	IP	33.4
CRISPR02M.35	60	1444.635	1444.635	11.2	11.2	2019/09/05	IP	29.9
CRISPR02M.01	0	460.555	460.555	7.4	7.4	2019/09/18	IP	29.8
CRISPR02M.02	0	0	22.5	6.8	6.8	2019/09/18	IP	28.3
CRISPR02M.03	0	0	22.5	8.2	8.2	2019/09/18	IP	29.4
CRISPR02M.04	0	0	22.5	7.9	7.9	2019/09/18	IP	29.3
CRISPR02M.05	0	155.445	155.445	6.5	6.5	2019/09/18	IP	30.6
CRISPR02M.06	0	124.025	124.025	6.8	6.8	2019/09/18	IP	30.1
CRISPR02M.07	0	773.535	773.535	7.5	7.5	2019/09/18	IP	28.1
CRISPR02M.08	0	1540.105	1540.105	8.4	8.4	2019/09/18	IP	30.1
CRISPR02M.09	0	534.935	534.935	7.8	7.8	2019/09/18	IP	31.6
CRISPR02M.10	0	15.74	15.74	7.7	7.7	2019/09/18	IP	30.1
CRISPR02M.11	0	111.54	111.54	4.2	4.2	2019/09/18	IP	25.8
CRISPR02M.12	0	87.05	87.05	8.5	8.5	2019/09/18	IP	32.5
CRISPR02M.13	0	2524.555	2524.555	7.8	7.8	2019/09/18	IP	28.1
CRISPR02M.14	0	320.695	320.695	8.4	8.4	2019/09/18	IP	30
CRISPR02M.15	0	508.685	508.685	8.3	8.3	2019/09/18	IP	28.7
CRISPR02M.01	15	325.965	325.965	29.6	29.6	2019/09/18	IP	29.8
CRISPR02M.02	15	0	22.5	18.7	18.7	2019/09/18	IP	28.3
CRISPR02M.03	15	10.93	10.93	31.2	31.2	2019/09/18	IP	29.4
CRISPR02M.04	15	0	22.5	23.9	23.9	2019/09/18	IP	29.3
CRISPR02M.05	15	178.605	178.605	13	13	2019/09/18	IP	30.6
CRISPR02M.06	15	105.925	105.925	24.5	24.5	2019/09/18	IP	30.1
CRISPR02M.07	15	849.9	849.9	21	21	2019/09/18	IP	28.1
CRISPR02M.08	15	1207.67	1207.67	25.6	25.6	2019/09/18	IP	30.1
CRISPR02M.09	15	237.65	237.65	19.6	19.6	2019/09/18	IP	31.6
CRISPR02M.10	15	6.37	6.37	17.6	17.6	2019/09/18	IP	30.1
CRISPR02M.11	15	16.285	16.285	12.8	12.8	2019/09/18	IP	25.8
CRISPR02M.12	15	59.46	59.46	17.8	17.8	2019/09/18	IP	32.5
CRISPR02M.13	15	2324.8	2324.8	22.1	22.1	2019/09/18	IP	28.1
CRISPR02M.14	15	283.05	283.05	27	27	2019/09/18	IP	30
CRISPR02M.15	15	255.425	255.425	22.1	22.1	2019/09/18	IP	28.7
CRISPR02M.01	60	843.375	843.375	9.7	9.7	2019/09/18	IP	29.8
CRISPR02M.02	60	0	22.5	6.9	6.9	2019/09/18	IP	28.3
CRISPR02M.03	60	15.565	15.565	14.3	14.3	2019/09/18	IP	29.4
CRISPR02M.04	60	0	22.5	12	12	2019/09/18	IP	29.3
CRISPR02M.05	60	253.06	253.06	7	7	2019/09/18	IP	30.6
CRISPR02M.06	60	281.745	281.745	9.2	9.2	2019/09/18	IP	30.1
CRISPR02M.07	60	1345.185	1345.185	8.6	8.6	2019/09/18	IP	28.1
CRISPR02M.08	60	1409.65	1409.65	11.6	11.6	2019/09/18	IP	30.1
CRISPR02M.09	60	626.44	626.44	10.1	10.1	2019/09/18	IP	31.6
CRISPR02M.10	60	7.345	7.345	8.7	8.7	2019/09/18	IP	30.1
CRISPR02M.11	60	21.575	21.575	5.2	5.2	2019/09/18	IP	25.8
CRISPR02M.12	60	68.55	68.55	8.4	8.4	2019/09/18	IP	32.5
CRISPR02M.13	60	3740.965	3740.965	9.5	9.5	2019/09/18	IP	28.1
CRISPR02M.14	60	401.825	401.825	12.5	12.5	2019/09/18	IP	30
CRISPR02M.15	60	475.11	475.11	10.5	10.5	2019/09/18	IP	28.7
CRISPR02M.21	0	287.08	287.08	8.6	8.6	2019/09/19	IP	33.3
CRISPR02M.22	0	1400.07	1400.07	6.3	6.3	2019/09/19	IP	30.8
CRISPR02M.23	0	81.96	81.96	8.3	8.3	2019/09/19	IP	27.6
CRISPR02M.24	0	3356.52	3356.52	5.2	5.2	2019/09/19	IP	29.7
CRISPR02M.25	0	2865.355	2865.355	8.7	8.7	2019/09/19	IP	30.5
CRISPR02M.26	0	1360.39	1360.39	6.3	6.3	2019/09/19	IP	30.2
CRISPR02M.27	0	872.585	872.585	8.2	8.2	2019/09/19	IP	32
CRISPR02M.28	0	1870.285	1870.285	7.4	7.4	2019/09/19	IP	25
CRISPR02M.29	0	3037.38	3037.38	7.5	7.5	2019/09/19	IP	31.5
CRISPR02M.30	0	516.49	516.49	2.6	2.6	2019/09/19	IP	26.2
CRISPR02M.31	0	1213.01	1213.01	6	6	2019/09/19	IP	30.5
CRISPR02M.32	0	999.43	999.43	7.5	7.5	2019/09/19	IP	33.8
CRISPR02M.33	0	846.775	846.775	8.7	8.7	2019/09/19	IP	31.4
CRISPR02M.34	0	4245.575	4245.575	6.7	6.7	2019/09/19	IP	33.9
CRISPR02M.35	0	1882.865	1882.865	7.8	7.8	2019/09/19	IP	30.5
CRISPR02M.21	15	163.96	163.96	21	21	2019/09/19	IP	33.3
CRISPR02M.22	15	876.635	876.635	24.6	24.6	2019/09/19	IP	30.8
CRISPR02M.23	15	44.255	44.255	20.9	20.9	2019/09/19	IP	27.6
